Radical ID#,Stroke#,Radical,Meaning,Reading-J,Reading-R,R-Filename,Anim-Filename,Position-J,Position-R,Visual_Form
1,1.0,⼀,"one, horizontal stroke",いち,ichi,,,,,Horizontal line.
2,1.0,⼁,vertical stroke,たてぼう,tatebou,,,,,竖笔直立
3,1.0,⼂,dot,てん,ten,,,,,"Dot shape, often small and simple."
4,1.0,⼃,diagonal sweeping stroke,の,no,,,,,A diagonal line that sweeps across.
5,1.0,,diagonal sweeping stroke,のかんむり,nokanmuri,,,かんむり,kanmuri,Sweeping diagonal line forming a square outline.
6,1.0,⼄,the second ,おつ,otsu,otsu-nine,otsu,,,Square shape with two lines crossing in middle.
7,1.0,⺃,the second,おつ,otsu,,,,,Three vertical bars arranged in a triangle shape.
8,1.0,⼅,vertical stroke with a hook,はねぼう,hanebou,,,,,Hooked vertical stroke resembling a vertical line with an upward curve.
9,2.0,⼆,two,に,ni,,,,,Two vertical bars intersecting horizontally.
10,2.0,⼇,"lid, top",なべぶた,nabebuta,,,かんむり,kanmuri,"lid shape, resembles a small mouth opening"
11,2.0,⼈,person,ひと,hito,,,,,A human figure divided into body and head sections.
12,2.0,⺅,person ,にんべん,ninben,,,へん,hen,A person's head viewed from above.
13,2.0,𠆢,person ,ひとやね,hitoyane,,,かんむり,kanmuri,Human: Stick figure silhouette of a person.
14,2.0,⼉,human legs,ひとあし,hitoashi,,,あし,ashi,脚 (kata) → two joined lines for feet
15,2.0,⼊,to enter,いる,iru,,,,,⼊ (hole in a wall)
16,2.0,⼋,eight,はち,hachi,,,,,Eight grid lines crossing at right angles.
17,2.0,,eight,はちがしら,hachigashira,,,,,Eight lines meeting at a point.
18,2.0,⼌ ,to enclose,けいがまえ,keigamae,,,"かまえ, けいがまえ","kamae, keigamae",A single vertical line enclosing others.
19,2.0,⼍,"cover, crown",わかんむり,wakanmuri,,,かんむり,kanmuri,Covering or crowning something; a loop with overlapping lines.
20,2.0,⼎,ice,にすい,nisui,,,へん,hen,Ice crystal forming a flat plate.
21,2.0,⼏,table,きにょう,kinyou,,,つくり,tsukuri,⼏个⻩⾊⼩⽊块并排成⾏
22,2.0,⺇,wind,かぜかんむり,kazekanmuri,,,かんむり,kanmuri,Blade with curved edges
23,2.0,⼐,"container, open box",かんにょう,kannyou,,,にょう,nyou,Box shape with a hole for entry.
24,2.0,⼑,"knife, sword",かたな,katana,,,,,Sword blade divided into two parts
25,2.0,⺉,"knife, sword",りっとう,rittou,,,つくり,tsukuri,⻩色長形，刀刃或劍刃的象徵。
26,2.0,⼒,power,ちから,chikara,,,,,Powerful and strong. Arms extending upward and gripping tightly.
27,2.0,⼓,to wrap,つつみがまえ,tsutsumigamae,,,"かまえ, つつみがまえ","kamae, tsutsumigamae",Wrapping material looped and tied together.
28,2.0,⼔,spoon,さじ,saji,,,つくり,tsukuri,A curved utensil with a long stem and thin handle.
29,2.0,⼕,box,はこがまえ,hakogamae,,,"かまえ, はこがまえ","kamae, hakogamae","Box shape, four corners."
30,2.0,⼖,"to conceal, hide",かくしがまえ,kakushigamae,,,"かまえ, はこがまえ","kamae, hakogamae","Hidden shape of the body, symbolizing hiding or concealing."
31,2.0,⼗,ten,じゅう,juu,,,,,Ten fingers or counterclockwise strokes.
32,2.0,⼘,oracle,ぼく,boku,,,,,"Triangle shape, top point higher than base."
33,2.0,⼙,"stamp, seal",ふしづくり,fushizukuri,,,つくり,tsukuri,"Stamp has a square shape with one corner missing, resembling an inked impression."
34,2.0,⼚,cliff,がんだれ,gandare,,,たれ,tare,A vertical rock face cut by wind and rain.
35,2.0,⼛,"private, Katakana Mu",む,mu,,,,,⼿ (hand) → pointing fingers
36,2.0,⼜,"again, right hand",また,mata,,,,,Crossstroke repeated horizontally
37,3.0,⼝,mouth,くち,kuchi,,,,,竖心旁，呈开放的圆形，代表嘴部结构。
38,3.0,,mouth,くちへん,kuchihen,,,へん,hen,Mouth shape: circular opening.
39,3.0,⼞,"border, territorial boundaries",くにがまえ,kunigamae,,,"かまえ, くにがまえ","kamae, kunigamae",A line intersecting multiple boxes forming a grid-like outline.
40,3.0,⼟,earth,つち,tsuchi,,,,,土 (dohi): flat rectangle symbolizing soil and earth.
41,3.0,,earth,つちへん,tsuchihen,,,へん,hen,"Circle shape, often with a dot in the middle."
42,3.0,⼠,"man, scholar, samurai",さむらい,samurai,,,,,Man with a long beard and wearing armor.
43,3.0,,"man, scholar, samurai",さむらいかんむり,samuraikanmuri,,samurai,かんむり,kanmuri,"Man standing upright, head tilted slightly forward, with long hair flowing."
44,3.0,⼡,to follow,のまた,nomata,,,,,A single vertical line pointing downward.
45,3.0,⼢,to go slowly,なつあし,natsuashi,,,あし,ashi,Curved line representing gradual motion.
46,3.0,⼣,evening,ゆうべ,yuube,,,,,Evening light gradually fading into darkness.
47,3.0,⼤,"large, big",だい,dai,,,,,"Big, elongated shape representing quantity."
48,3.0,⼥,woman,おんな,onna,,,,,Woman's silhouette: shoulders and waist.
49,3.0,,woman,おんなへん,onnahen,,,へん,hen,Woman's face with eyes and mouth open wide.
50,3.0,⼦,"child, son",こ,ko,,,,,⼦ (child): hand holding a baby.
51,3.0,,"child, son",こへん,kohen,,,へん,hen,"The radical  resembles a child's hand reaching up, symbolizing growth and new beginnings."
52,3.0,⼧,"roof, house",うかんむり,ukanmuri,,,かんむり,kanmuri,⻩色方框，带有四条竖线。
53,3.0,⼨,"inch, (2.25 cm)",すん,sun,,,,,⻩色细条，表示长度单位。
54,3.0,,"inch, (2.25 cm)",すんづくり,sunzukuri,,sun,つくり,tsukuri,A small horizontal bar representing a thin finger used to measure length.
55,3.0,⼩,small,しょう,shou,,,,,⼩ (small) → shape resembling a person with arms and legs shortened.
56,3.0,⺌,small,しょうかんむり,shoukanmuri,,,かんむり,kanmuri,Small square within a larger square.
57,3.0,⺐,lame leg,だいのまげあし,dainomageashi,,,つくり,tsukuri,Lame foot sticking straight up
58,3.0,⼫,"corpse, awning",しかばね,shikabane,,,たれ,tare,Awning: triangular shape with a single vertical line under it.
59,3.0,⼬,sprout,くさのめ,kusanome,,,,,芽 (bud) unfolding from stem
60,3.0,⼭,mountain,やま,yama,,,,,Three peaks forming a mountain.
61,3.0,,mountain,やまへん,yamahen,,,へん,hen,Mountain peak with several ridges.
62,3.0,,mountain,やまかんむり,yamakanmuri,,,かんむり,kanmuri,Three peaks forming a mountain shape.
63,3.0,⼮,winding river,まがりがわ,magarigawa,,,,,Winding stream of water.
64,3.0,川,river,さんぼんがわ,sanbongawa,,,,,"Flowing water, winding through valleys."
65,3.0,⼯,"work, carpenter, skill",たくみ,takumi,,,,,"⼯ looks like a person with tools and a pencil, symbolizing manual work skills."
66,3.0,,"work, carpenter, skill",たくみへん,takumihen,,,へん,hen,The stylized hook with a dot in the middle. A symbol of craftsmanship and skill.
67,3.0,⼰,self,おのれ,onore,,,,,A person's head or body.
68,3.0,⼱,cloth,はば,haba,,,,,布条斜挂，图案多为网格。
69,3.0,,cloth,はばへん,habahen,,,へん,hen,A single line representing fabric in vertical folds.
70,3.0,⼲,"to dry, shield",かん,kan,,,,,A horizontal line inside a square.
71,3.0,⺓,"young, slight",いとがしら,itogashira,,,,,Dot-like shape in the lower-left corner. Represents youthfulness and slightness.
72,3.0,⼴,slanting roof,まだれ,madare,,,たれ,tare,Slanted line extending upwards.
73,3.0,⼵,"to move, stretch",えんにょう,ennyou,,,にょう,nyou,"A stylized figure resembling a person's hand moving forward, suggesting movement."
74,3.0,⼶,folded hands,にじゅうあし,nijuuashi,,,あし,ashi,Folds in a single hand shape.
75,3.0,⼷,javelin,いぐるみ,igurumi,,,,,"A long, pointed spear."
76,3.0,⼸,bow （in archery）,ゆみ,yumi,,,,,A bow with a thin handle and arrow in it.
77,3.0,,bow （in archery）,ゆみへん,yumihen,,,へん,hen,An arrow pointing forward with bent shaft.
78,3.0,⼹,pig’s head,けいがしら,keigashira,,,,,Pig's head: Sharp point with long snout.
79,3.0,⺕,pig’s head,けいがしら,keigashira,,,,,猪的头部形状。
80,3.0,⺔,pig’s head,けいがしら,keigashira,,,,,Pig's face with prominent nose and large mouth.
81,3.0,⼺,"hair-style, light rays",さんづくり,sanzukuri,,,つくり,tsukuri,Light rays converging into a single strand.
82,3.0,⼻,"step, stride, street, to go",ぎょうにんべん,gyouninben,,,へん,hen,Stilettos with heel pointed upward
83,3.0,⺾,grass,くさかんむり,kusakanmuri,,,かんむり,kanmuri,⽪片，草茎露出地面
84,3.0,⻌,"road, walk, to advance",しんにょう,shinnyou,,,にょう,nyou,"Road, steps leading forward, a journey ahead."
85,3.0,⻏,"village, country, city",おおざと,oozato,,,つくり,tsukuri,Crossroads and homes arranged in rows.
86,3.0,⻖,"hill, mound",こざとへん,kozatohen,,,へん,hen,"Mound-like shape, rising and connecting to sky."
87,3.0,⺍,Katakana Tsu,つ,tsu,,,かんむり,kanmuri,氵 + 竹 radical.
88,3.0,⺖,"heart, mind, spirit",りっしんべん,risshinben,,,へん,hen,⼼ (心): rounded shape with two inward-pointing lines.
89,3.0,⺘,hand,てへん,tehen,,,へん,hen,掌形手，握物之用。
90,3.0,⺡,water,さんずい,sanzui,,,へん,hen,氵 (stream of water)
91,3.0,⺨,beast,けものへん,kemonohen,,,へん,hen,Tail of a dragon with eyes.
92,4.0,⼼,"heart, mind, spirit",こころ,kokoro,,,,,"心 (heart, mind, spirit) → swirling vortex of emotions and thoughts"
93,4.0,⺗,"heart, mind, spirit",したごころ,shitagokoro,,,あし,ashi,Heart-shaped symbol.
94,4.0,⼽,"spear, weapon",ほこ,hoko,,,,,Trunk with a spear point and curved blade.
95,4.0,⼾,door,と,to,,,,,Door handle protruding from frame
96,4.0,,door,とだれ,todare,,,たれ,tare,Door handle facing outward.
97,4.0,⼿,hand,て,te,,,,,手掌弯曲，手指向内聚拢
98,4.0,⽀,branch,しにょう,shinyou,,,,,Trunk and two spread-out branches.
99,4.0,⽁,"activity, to strike, hit",ぼくづくり,bokuzukuri,,,つくり,tsukuri,Trunk with curved edges intersecting.
100,4.0,⺙,"activity, to strike, hit",ぼくづくり,bokuzukuri,,,つくり,tsukuri,Strike symbol: thin vertical line with a dot at top
101,4.0,⽂,"literature, letters",ぶん,bun,,,,,"文字 (literature, letters) → written characters"
102,4.0,⽃,"big dipper, ladle, 18 liters",ますづくり,masuzukuri,,,つくり,tsukuri,"Big spoon in shape, with four prongs pointing downward"
103,4.0,⽄,axe,おのづくり,onozukuri,,,つくり,tsukuri,A chopping tool with a handle and head.
104,4.0,⽅,"direction, flag",ほう,hou,,,,,"A square divided by two diagonals, representing direction or flag."
105,4.0,,"direction, flag",ほうへん,houhen,,,へん,hen,Triangle pointing upwards.
106,4.0,⽆,not,むにょう,munyou,,,,,Cross-shaped outline without any lines or components.
107,4.0,⽇,"sun, day, time",ひ,hi,,,,,圆形太阳符号，代表时间与日出。
108,4.0,,"sun, day, time",ひへん,hihen,,,へん,hen,"Sun's disk, light rising in the sky"
109,4.0,⽈,to say,ひらび,hirabi,,,,,"Pointed stick used to form words like ""say""."
110,4.0,⽉,"moon, month, period",つき,tsuki,,,,,圆形，有缺角的轮状。
111,4.0,⺝,"moon, month, period",つきへん,tsukihen,,tsuki,へん,hen,⽉轮形，平放呈半月ظ。
112,4.0,,"meat, flesh",にくづき,nikuzuki,,,,,Meat slices arranged neatly.
113,4.0,⽊,"tree, wood",き,ki,,,,,Trunk with spreading branches
114,4.0,,"tree, wood",きへん,kihen,,,へん,hen,Trunk and leaves symbolizing a tree.
115,4.0,⽋,"to lack, yawn",あくび,akubi,,,,,"mouth open slightly, with tongue visible."
116,4.0,⽌,to stop,とめる,tomeru,,,,,Stop sign or clamp - a straight line crossing two oblique lines.
117,4.0,⽍,"death & dying, to decompose",がつ,gatsu,,,,,骨 (bones) → fragmented skeletal remains
118,4.0,,"death & dying, to decompose",がつへん,gatsuhen,,,へん,hen,Tranquil void with jagged edges.
119,4.0,⽎,"lance shaft, action",るまた,rumata,,,つくり,tsukuri,⻩色长条，象征直立的⼈力武器。
120,4.0,⽏,"not, mother",なかれ,nakare,,,,,斜杠 (slanted line with two horizontal lines above and below)
121,4.0,⽐,to compare,くらべる,kuraberu,,,,,Two parallel lines intersecting.
122,4.0,⽑,hair,け,ke,,,,,梳理，细长的线条卷曲。
123,4.0,⽒,"family, clan",うじ,uji,,,,,Triangle with horizontal lines connecting sides
